n,density,representation,trial,time_s
20,0.5,matrix,2,0.000033300
20,0.5,list,3,0.000033600
20,0.5,matrix,3,0.000034000
20,0.5,list,4,0.000040500
20,0.5,matrix,4,0.000030400
20,0.5,list,5,0.000034500
20,0.5,matrix,5,0.000029700
20,0.5,list,6,0.000033600
20,0.5,matrix,6,0.000029700
20,0.5,list,7,0.000034600
20,0.5,matrix,7,0.000038000
20,0.5,list,8,0.000028500
20,0.5,matrix,8,0.000053500
20,0.5,list,9,0.000035300
20,0.5,matrix,9,0.000032000
20,0.5,list,10,0.000034500
20,0.5,matrix,10,0.000031800
20,0.5,list,11,0.000031700
20,0.5,matrix,11,0.000029500
20,0.5,list,12,0.000030700
20,0.5,matrix,12,0.000034300
20,0.5,list,13,0.000034800
20,0.5,matrix,13,0.000032400
20,0.5,list,14,0.000034700
20,0.5,matrix,14,0.000034300
20,0.5,list,15,0.000031000
20,0.5,matrix,15,0.000035300
20,0.5,list,16,0.000033200
20,0.5,matrix,16,0.000029900
20,0.5,list,17,0.000033800
20,0.5,matrix,17,0.000033500
20,0.5,list,18,0.000047400
20,0.5,matrix,18,0.000030700
20,0.5,list,19,0.000031600
20,0.5,matrix,19,0.000029800
20,0.5,list,20,0.000034000
20,0.5,matrix,20,0.000032700
40,0.01,list,1,0.000048200
40,0.01,matrix,1,0.000098600
40,0.01,list,2,0.000029000
40,0.01,matrix,2,0.000100300
40,0.01,list,3,0.000031700
40,0.01,matrix,3,0.000095800
40,0.01,list,4,0.000030400
40,0.01,matrix,4,0.000105400
40,0.01,list,5,0.000037100
40,0.01,matrix,5,0.000208600
40,0.01,list,6,0.000043400
40,0.01,matrix,6,0.000178600
40,0.01,list,7,0.000050400
40,0.01,matrix,7,0.000112700
40,0.01,list,8,0.000035000
40,0.01,matrix,8,0.000112400
40,0.01,list,9,0.000034000
40,0.01,matrix,9,0.000108700
40,0.01,list,10,0.000030700
40,0.01,matrix,10,0.000100400
40,0.01,list,11,0.000035600
40,0.01,matrix,11,0.000095500
40,0.01,list,12,0.000034100
40,0.01,matrix,12,0.000100200
40,0.01,list,13,0.000029900
40,0.01,matrix,13,0.000098700
40,0.01,list,14,0.000034700
40,0.01,matrix,14,0.000096400
40,0.01,list,15,0.000033500
40,0.01,matrix,15,0.000305100
40,0.01,list,16,0.000033000
40,0.01,matrix,16,0.000100200
40,0.01,list,17,0.000030700
40,0.01,matrix,17,0.000097500
40,0.01,list,18,0.000032900
40,0.01,matrix,18,0.000098500
40,0.01,list,19,0.000058500
40,0.01,matrix,19,0.000199100
40,0.01,list,20,0.000029700
40,0.01,matrix,20,0.000100400
40,0.05,list,1,0.000029000
40,0.05,matrix,1,0.000071300
40,0.05,list,2,0.000048900
40,0.05,matrix,2,0.000071000
40,0.05,list,3,0.000033100
40,0.05,matrix,3,0.000075600
40,0.05,list,4,0.000036000
40,0.05,matrix,4,0.000076200
40,0.05,list,5,0.000060400
40,0.05,matrix,5,0.000065700
40,0.05,list,6,0.000032400
40,0.05,matrix,6,0.000071500
40,0.05,list,7,0.000036300
40,0.05,matrix,7,0.000086000
40,0.05,list,8,0.000032900
40,0.05,matrix,8,0.000092600
40,0.05,list,9,0.000032500
40,0.05,matrix,9,0.000066600
40,0.05,list,10,0.000029400
40,0.05,matrix,10,0.000193600
40,0.05,list,11,0.000034400
40,0.05,matrix,11,0.000063500
40,0.05,list,12,0.000034900
40,0.05,matrix,12,0.000077200
40,0.05,list,13,0.000035200
40,0.05,matrix,13,0.000081600
40,0.05,list,14,0.000046400
40,0.05,matrix,14,0.000064800
40,0.05,list,15,0.000031900
40,0.05,matrix,15,0.000089900
40,0.05,list,16,0.000033000
40,0.05,matrix,16,0.000127600
40,0.05,list,17,0.000034500
40,0.05,matrix,17,0.000079100
40,0.05,list,18,0.000052800
40,0.05,matrix,18,0.000063600
40,0.05,list,19,0.000034600
40,0.05,matrix,19,0.000063400
40,0.05,list,20,0.000035800
40,0.05,matrix,20,0.000078500
40,0.1,list,1,0.000034000
40,0.1,matrix,1,0.000068600
40,0.1,list,2,0.000030500
40,0.1,matrix,2,0.000060000
40,0.1,list,3,0.000047400
40,0.1,matrix,3,0.000058400
40,0.1,list,4,0.000041200
40,0.1,matrix,4,0.000066600
40,0.1,list,5,0.000034300
40,0.1,matrix,5,0.000066700
40,0.1,list,6,0.000042500
40,0.1,matrix,6,0.000065500
40,0.1,list,7,0.000036000
